台番号,続繭スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",8780,40,37,0,3720,1/219.5,1/237.3,0.0,114.0
"
479
",4771,23,13,0,1464,1/207.4,1/367.0,0.0,132.5
"
480
",8646,35,28,0,2429,1/247.0,1/308.8,0.0,137.2
"
481
",7295,28,25,0,2054,1/260.5,1/291.8,0.0,137.6
"
482
",4068,16,11,0,1493,1/254.3,1/369.8,0.0,150.7
"
483
",4263,9,14,0,631,1/473.7,1/304.5,0.0,185.3
"
484
",6697,22,23,0,862,1/304.4,1/291.2,0.0,148.8
"
485
",6518,26,15,0,1866,1/250.7,1/434.5,0.0,159.0
"
486
",3303,9,10,0,891,1/367.0,1/330.3,0.0,173.8
"
487
",9477,35,34,0,1714,1/270.8,1/278.7,0.0,137.3
"
488
",3792,18,7,0,1532,1/210.7,1/541.7,0.0,151.7
"
489
",7368,33,31,0,3414,1/223.3,1/237.7,0.0,115.1
"
490
",4744,13,13,0,887,1/364.9,1/364.9,0.0,182.5
"
491
",7348,24,28,0,1458,1/306.2,1/262.4,0.0,141.3
"
492
",4863,17,10,0,1171,1/286.1,1/486.3,0.0,180.1
"
493
",7180,27,18,0,886,1/265.9,1/398.9,0.0,159.6
"
494
",4747,15,14,0,1139,1/316.5,1/339.1,0.0,163.7
"
495
",6175,20,18,0,885,1/308.8,1/343.1,0.0,162.5
"
496
",7158,22,24,0,1000,1/325.4,1/298.3,0.0,155.6
"
497
",4502,18,10,0,1407,1/250.1,1/450.2,0.0,160.8
"
498
",7835,34,24,0,1814,1/230.4,1/326.5,0.0,135.1
"
499
",5087,22,10,0,1458,1/231.2,1/508.7,0.0,159.0
"
500
",4149,9,10,0,891,1/461.0,1/414.9,0.0,218.4
"
501
",7102,24,21,0,1126,1/295.9,1/338.2,0.0,157.8
"
502
",6162,27,22,0,2678,1/228.2,1/280.1,0.0,125.8
"
503
",5809,18,15,0,900,1/322.7,1/387.3,0.0,176.0
"
504
",5625,23,14,0,1883,1/244.6,1/401.8,0.0,152.0
"
505
",7325,20,22,0,1004,1/366.3,1/333.0,0.0,174.4
"
506
",7879,28,21,0,1154,1/281.4,1/375.2,0.0,160.8
"
507
",6478,21,27,0,1004,1/308.5,1/239.9,0.0,135.0
"
508
",6680,28,19,0,2166,1/238.6,1/351.6,0.0,142.1
"
509
",6142,27,13,0,2027,1/227.5,1/472.5,0.0,153.6
"
510
",7246,24,28,0,1108,1/301.9,1/258.8,0.0,139.3
"
511
",8049,35,28,0,1971,1/230.0,1/287.5,0.0,127.8
"
512
",5354,13,11,0,1333,1/411.8,1/486.7,0.0,223.1
"
513
",8614,37,36,0,2693,1/232.8,1/239.3,0.0,118.0
"
514
",4560,12,13,0,642,1/380.0,1/350.8,0.0,182.4
"
515
",4429,17,13,0,1000,1/260.5,1/340.7,0.0,147.6
"
516
",6692,22,25,0,1147,1/304.2,1/267.7,0.0,142.4
"
517
",7215,30,23,0,1219,1/240.5,1/313.7,0.0,136.1
"
524
",7706,34,22,0,1950,1/226.6,1/350.3,0.0,137.6
"
525
",7453,22,28,0,1221,1/338.8,1/266.2,0.0,149.1
"
526
",7754,41,27,0,4045,1/189.1,1/287.2,0.0,114.0
"
527
",5171,18,14,0,1091,1/287.3,1/369.4,0.0,161.6
"
528
",5454,20,15,0,1318,1/272.7,1/363.6,0.0,155.8
"
529
",8703,38,30,0,2400,1/229.0,1/290.1,0.0,128.0
"
530
",4095,9,15,0,630,1/455.0,1/273.0,0.0,170.6
"
531
",4258,14,10,0,756,1/304.1,1/425.8,0.0,177.4
"
532
",6614,21,18,0,1196,1/315.0,1/367.4,0.0,169.6
"
533
",4253,12,10,0,905,1/354.4,1/425.3,0.0,193.3
"
534
",5427,13,18,0,1064,1/417.5,1/301.5,0.0,175.1
"
535
",8062,44,27,0,3805,1/183.2,1/298.6,0.0,113.5
